drought_region_id,year_month,saturation_ratio
31,2009-01,0.96475
31,2009-02,0.97075
31,2009-03,0.9630000000000001
31,2009-04,0.71425
31,2009-05,0.744
31,2009-06,0.604
31,2009-07,0.79925
31,2009-08,0.6362
31,2009-09,0.583
31,2009-10,0.7515000000000001
31,2009-11,0.9202
31,2009-12,0.97225
31,2010-01,0.96825
31,2010-02,0.9722500000000001
31,2010-03,0.9588000000000001
31,2010-04,0.7737499999999999
31,2010-05,0.9212
31,2010-06,0.81425
31,2010-07,0.42575
31,2010-08,0.876
31,2010-09,0.888
31,2010-10,0.90775
31,2010-11,0.9522
31,2010-12,0.98125
31,2011-01,0.9704
31,2011-02,0.937
31,2011-03,0.9117500000000001
31,2011-04,0.67175
31,2011-05,0.4016
31,2011-06,0.66875
31,2011-07,0.74325
31,2011-08,0.6706000000000001
31,2011-09,0.7615
31,2011-10,0.8320000000000001
31,2011-11,0.82275
31,2011-12,0.96675
31,2012-01,0.9795999999999999
31,2012-02,0.953
31,2012-03,0.86875
31,2012-04,0.9283999999999999
31,2012-05,0.8534999999999999
31,2012-06,0.906
31,2012-07,0.8798
31,2012-08,0.7484999999999999
31,2012-09,0.926
31,2012-10,0.9587999999999999
31,2012-11,0.97925
31,2012-12,0.9864
31,2013-01,0.9702500000000001
31,2013-02,0.97325
31,2013-03,0.96125
31,2013-04,0.9673999999999999
31,2013-05,0.9650000000000001
31,2013-06,0.8895
31,2013-07,0.6414
31,2013-08,0.716
31,2013-09,0.8204
31,2013-10,0.95025
31,2013-11,0.978
31,2013-12,0.9696
31,2014-01,0.9712500000000001
31,2014-02,0.97125
31,2014-03,0.8704000000000001
31,2014-04,0.7302500000000001
31,2014-05,0.9059999999999999
31,2014-06,0.5128
31,2014-07,0.909
31,2014-08,0.92825
31,2014-09,0.8878
31,2014-10,0.95225
31,2014-11,0.96925
31,2014-12,0.9648
31,2015-01,0.978
31,2015-02,0.9652499999999999
31,2015-03,0.9179999999999999
31,2015-04,0.8815
31,2015-05,0.8925000000000001
31,2015-06,0.6679999999999999
31,2015-07,0.19125
31,2015-08,0.378
31,2015-09,0.5315
31,2015-10,0.7222500000000001
31,2015-11,0.7634
31,2015-12,0.8835
31,2016-01,0.966
31,2016-02,0.985
31,2016-03,0.9335
31,2016-04,0.956
31,2016-05,0.9558
31,2016-06,0.972
31,2016-07,0.678
31,2016-08,0.48900000000000005
31,2016-09,0.565
31,2016-10,0.6914
31,2016-11,0.9345
31,2016-12,0.87775
31,2017-01,0.9168000000000001
31,2017-02,0.96575
31,2017-03,0.93675
31,2017-04,0.67075
31,2017-05,0.8496
31,2017-06,0.54075
31,2017-07,0.506
31,2017-08,0.60475
31,2017-09,0.64875
31,2017-10,0.6852
31,2017-11,0.915
31,2017-12,0.9695
31,2018-01,0.9846
31,2018-02,0.968
31,2018-03,0.966
31,2018-04,0.6954
31,2018-05,0.763
31,2018-06,0.73425
31,2018-07,0.41600000000000004
31,2018-08,0.422
31,2018-09,0.4765
31,2018-10,0.46299999999999997
31,2018-11,0.7775
31,2018-12,0.9388
31,2019-01,0.9620000000000001
31,2019-02,0.934
31,2019-03,0.93225
31,2019-04,0.8705999999999999
31,2019-05,0.923
31,2019-06,0.7995
31,2019-07,0.3994
31,2019-08,0.7165
31,2019-09,0.5654
31,2019-10,0.88475
31,2019-11,0.9365
31,2019-12,0.9618
31,2020-01,0.95225
31,2020-02,0.978
31,2020-03,0.9124000000000001
31,2020-04,0.48025
31,2020-05,0.8009999999999999
31,2020-06,0.7592000000000001
31,2020-07,0.29275
31,2020-08,0.47379999999999994
31,2020-09,0.534
31,2020-10,0.8805000000000001
31,2020-11,0.9128000000000001
31,2020-12,0.9535
31,2021-01,0.9755
31,2021-02,0.9655
31,2021-03,0.923
31,2021-04,0.7697499999999999
31,2021-05,0.9338000000000001
31,2021-06,0.87625
31,2021-07,0.9635
31,2021-08,0.7979999999999999
31,2021-09,0.6695
