region_id,year,mean_moisture
31,1990,
31,1991,0.8151346153846154
31,1992,0.8339038461538462
31,1993,0.8875769230769232
31,1994,0.8657884615384616
31,1995,0.8918653846153847
31,1996,0.8674905660377358
31,1997,0.8522884615384616
31,1998,0.8481538461538461
31,1999,0.9187884615384616
31,2000,0.8703653846153846
31,2001,0.9078867924528302
31,2002,0.8999615384615385
31,2003,0.6686538461538463
31,2004,0.84675
31,2005,0.8748269230769231
31,2006,0.8843269230769231
31,2007,0.894245283018868
31,2008,0.8646346153846154
31,2009,0.8003076923076923
31,2010,0.8743461538461539
31,2011,0.7751346153846155
31,2012,0.9170754716981131
31,2013,0.8963076923076924
31,2014,0.8755576923076924
31,2015,0.7273076923076923
31,2016,0.8295576923076923
31,2017,0.7653076923076922
31,2018,0.7154339622641509
31,2019,0.8142307692307693
31,2020,0.7457692307692307
31,2021,0.8874615384615384
31,2022,0.7475769230769231
31,2023,0.7521538461538462
31,2024,0.9005624999999999
31,2025,0.8646078431372549
32,1990,
32,1991,0.8681346153846154
32,1992,0.8824615384615384
32,1993,0.9637115384615385
32,1994,0.9378269230769232
32,1995,0.9249038461538461
32,1996,0.9419622641509434
32,1997,0.9222307692307693
32,1998,0.88725
32,1999,0.9497307692307693
32,2000,0.9358076923076923
32,2001,0.964433962264151
32,2002,0.9471538461538462
32,2003,0.7595
32,2004,0.9253653846153846
32,2005,0.8834423076923077
32,2006,0.91225
32,2007,0.9540754716981132
32,2008,0.9251730769230769
32,2009,0.8554423076923078
32,2010,0.9140769230769231
32,2011,0.8217307692307693
32,2012,0.9330943396226415
32,2013,0.9404615384615386
32,2014,0.9368846153846154
32,2015,0.7943269230769231
32,2016,0.8998076923076923
32,2017,0.8411923076923077
32,2018,0.7436603773584906
32,2019,0.8623653846153847
32,2020,0.8124230769230769
32,2021,0.9398076923076922
32,2022,0.8101346153846154
32,2023,0.8014038461538462
32,2024,0.9566666666666667
32,2025,0.918156862745098
33,1990,
33,1991,0.9052884615384615
33,1992,0.9171730769230769
33,1993,0.9773461538461539
33,1994,0.9479423076923077
33,1995,0.9428846153846154
33,1996,0.9565094339622642
33,1997,0.9477884615384616
33,1998,0.8768076923076923
33,1999,0.9691153846153847
33,2000,0.9645961538461538
33,2001,0.9764150943396226
33,2002,0.9688846153846153
33,2003,0.8078653846153846
33,2004,0.9336346153846153
33,2005,0.8931153846153846
33,2006,0.9271346153846154
33,2007,0.9694716981132077
33,2008,0.9350384615384615
33,2009,0.8843076923076924
33,2010,0.9407884615384615
33,2011,0.8677692307692308
33,2012,0.9432075471698114
33,2013,0.9414230769230769
33,2014,0.964
33,2015,0.8331153846153847
33,2016,0.9486346153846154
33,2017,0.8813076923076923
33,2018,0.7870754716981133
33,2019,0.9036346153846154
33,2020,0.8833461538461538
33,2021,0.9573076923076923
33,2022,0.8505961538461538
33,2023,0.8343076923076923
33,2024,0.9669375000000001
33,2025,0.9124313725490196
34,1990,
34,1991,0.9239807692307693
34,1992,0.9365384615384615
34,1993,0.978923076923077
34,1994,0.9585384615384616
34,1995,0.9506923076923077
34,1996,0.9687169811320755
34,1997,0.9650576923076923
34,1998,0.8804423076923077
34,1999,0.976673076923077
34,2000,0.9798653846153846
34,2001,0.9802452830188679
34,2002,0.9786538461538462
34,2003,0.871
34,2004,0.9557884615384615
34,2005,0.9406923076923077
34,2006,0.9369230769230769
34,2007,0.9781698113207548
34,2008,0.9638269230769231
34,2009,0.9116923076923077
34,2010,0.9427500000000001
34,2011,0.9088076923076923
34,2012,0.9587924528301888
34,2013,0.9524423076923078
34,2014,0.9807692307692307
34,2015,0.8886730769230768
34,2016,0.9758269230769231
34,2017,0.912923076923077
34,2018,0.8457169811320755
34,2019,0.9289807692307692
34,2020,0.9236538461538462
34,2021,0.9663076923076924
34,2022,0.8409423076923077
34,2023,0.8694807692307692
34,2024,0.9783750000000001
34,2025,0.9152156862745099
35,1990,
35,1991,0.9535384615384616
35,1992,0.9750961538461538
35,1993,0.9876538461538462
35,1994,0.9802307692307692
35,1995,0.9708269230769232
35,1996,0.9811320754716981
35,1997,0.9773846153846153
35,1998,0.9600000000000001
35,1999,0.9830384615384615
35,2000,0.9769230769230769
